,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",241450,7940,,"True=0",79857,3254,,,"True=0",233956,8971,,"True=0",77402,3551,
"True=1",0,5540,,"True=1",1409,457,,,"True=1",0,5434,,"True=1",1371,463,
,"Cost ratio: 1,000,000,000:1",,,,,,,,,"Cost ratio: 1,000,000,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",232114,17276,,"True=0",76929,6182,,,"True=0",224882,18045,,"True=0",74419,6534,
"True=1",0,5540,,"True=1",901,965,,,"True=1",0,5434,,"True=1",904,930,
,"Cost ratio: 10,000,000,000:1",,,,,,,,,"Cost ratio: 10,000,000,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",90700,158690,,"True=0",30075,53036,,,"True=0",87495,155432,,"True=0",29167,51786,
"True=1",0,5540,,"True=1",28,1838,,,"True=1",0,5434,,"True=1",41,1793,
,,,,,,,,,,,,,,,,
,"Cost ratio: 49:1",,,,,,"Model 7",,,"Cost ratio: 49:1",,,,,,"Model 8"
,"Training Set",,,,"Validation Set",,,,,"Training Set",,,,"Validation Set",,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",248201,1189,,"True=0",82489,622,,,"True=0",248201,1189,,"True=0",82479,632,
"True=1",0,5540,,"True=1",1756,110,,,"True=1",0,5540,,"True=1",1753,113,
,"Cost ratio: 100,000:1",,,,,,,,,"Cost ratio: 100,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",247387,2003,,"True=0",81975,1136,,,"True=0",247681,1709,,"True=0",82120,991,
"True=1",0,5540,,"True=1",1665,201,,,"True=1",0,5540,,"True=1",1676,190,
,"Cost ratio: 100,000,000:1",,,,,,,,,"Cost ratio: 100,000,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",244972,4418,,"True=0",81034,2077,,,"True=0",246293,3097,,"True=0",81551,1560,
"True=1",0,5540,,"True=1",1545,321,,,"True=1",0,5540,,"True=1",1596,270,
,"Cost ratio: 1,000,000,000:1",,,,,,,,,"Cost ratio: 1,000,000,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",236208,13182,,"True=0",78220,4891,,,"True=0",238206,11184,,"True=0",78915,4196,
"True=1",0,5540,,"True=1",1007,859,,,"True=1",0,5540,,"True=1",1080,786,
,"Cost ratio: 10,000,000,000:1",,,,,,,,,"Cost ratio: 10,000,000,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",92157,157233,,"True=0",30535,52576,,,"True=0",94644,154746,,"True=0",31416,51695,
"True=1",0,5540,,"True=1",31,1835,,,"True=1",0,5540,,"True=1",34,1832,
,,,,,,,,,,,,,,,,
,"Cost ratio: 49:1",,,,,,"Model 9",,,"Cost ratio: 49:1",,,,,,"Model 10"
,"Training Set",,,,"Validation Set",,,,,"Training Set",,,,"Validation Set",,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",248202,1188,,"True=0",82451,660,,,"True=0",298019,1585,,"True=0",99113,796,
"True=1",0,5540,,"True=1",1745,121,,,"True=1",0,7584,,"True=1",2350,137,
,"Cost ratio: 100,000:1",,,,,,,,,"Cost ratio: 100,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",247000,2390,,"True=0",81770,1341,,,"True=0",297356,2248,,"True=0",98669,1240,
"True=1",0,5540,,"True=1",1630,236,,,"True=1",0,7584,,"True=1",2261,226,
,"Cost ratio: 100,000,000:1",,,,,,,,,"Cost ratio: 100,000,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",243802,5588,,"True=0",80622,2489,,,"True=0",295380,4224,,"True=0",97809,2100,
"True=1",0,5540,,"True=1",1517,349,,,"True=1",0,7584,,"True=1",2140,347,
,"Cost ratio: 1,000,000,000:1",,,,,,,,,"Cost ratio: 1,000,000,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",234417,14973,,"True=0",77657,5454,,,"True=0",283201,16403,,"True=0",93865,6044,
"True=1",0,5540,,"True=1",967,899,,,"True=1",0,7584,,"True=1",1354,1133,
,"Cost ratio: 10,000,000,000:1",,,,,,,,,"Cost ratio: 10,000,000,000:1",,,,,,
,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",,,,"Pred = 0","Pred = 1",,,"Pred = 0","Pred = 1",
"True=0",92348,157042,,"True=0",30582,52529,,,"True=0",79934,219670,,"True=0",26596,73313,
"True=1",0,5540,,"True=1",34,1832,,,"True=1",0,7584,,"True=1",25,2462,
